protein_id,accession,gene,primary_temporal_class,late_subclass,verification_status,protein_length,primary_known_function,functional_category,documented_localization_or_compartment,documented_role_in_HSV1_life_cycle,documented_interactions_if_relevant,relevant_literature_reference,pmid,doi,evidence_type,evidence_strength,notes
YP_009137120.1,NC_001806.2,UL45,Late,Gamma-2,verified,172,Envelope protein UL45; single-pass transmembrane protein involved in cell-to-cell fusion.,envelope/glycoprotein,Virion envelope and plasma membrane,Modulation of viral membrane fusion.,UL27 (gB),Haanes et al. (1994) J Virol 68:5825-5834; Roizman et al. (2013) Fields Virology,8057463,10.1128/jvi.68.9.5825-5834.1994,Direct Experimental / Literature Curation,High,Late (gamma-1) transmembrane protein.
YP_009137121.1,NC_001806.2,UL46,Late,Gamma-1,verified,718,"Outer tegument protein VP11/12 (UL46); activates host Src family kinases, modulates Akt and PI3K pathways, and cooperates with VP16.",tegument,Cytoplasm and nucleus; virion tegument,Host signaling reprogramming and tegument delivery.,"Host Src family kinases (Lck, Lyn, Fyn), VP16 (UL48)",McNabb & Courtney (1992) J Virol 66:2655-2663; Wagner & Smiley (2011) J Virol 85:2804-2814,1314958,10.1128/jvi.66.5.2655-2663.1992,Direct Experimental / Literature Curation,High,Late (gamma-1) major tegument protein.
YP_009137122.1,NC_001806.2,UL47,Late,Gamma-1,verified,693,"Major outer tegument protein VP13/14 (UL47); shuttles between nucleus and cytoplasm, binds RNA, enhances VP16 transactivation, and modulates vhs (UL41) activity.",tegument,"Nucleus, cytoplasm, and virion tegument",Enhancement of immediate-early gene expression and tegument assembly.,"VP16 (UL48), UL41 (vhs), cellular transport factors (CRM1)",McLean et al. (1982) J Gen Virol 63:65-74; Donnelly et al. (2007) J Virol 81:2297-2308,6296294,10.1099/0022-1317-63-1-65,Direct Experimental / Literature Curation,High,Late (gamma-1) abundant tegument component.
YP_009137123.1,NC_001806.2,UL48,Late,Gamma-1,verified,490,"Major tegument transactivator protein VP16 (alpha-TIF, 490 aa); complexes with host HCF-1 and Oct-1 on TAATGARAT promoter elements to robustly transactivate all five viral Immediate-Early (alpha) genes.",transcriptional/regulatory,Nucleus during early transactivation; cytoplasm during virion assembly,Initiation of the entire viral transcriptional cascade upon entry.,"Host Oct-1 (POU2F1), HCF-1 (HCFC1), TFIID, TFIIB, UL41 (vhs), UL46, UL47",Campbell et al. (1984) J Mol Biol 180:1-19; Stern & Herr (1991) Genes Dev 5:2555-2566,6096564,10.1016/0022-2836(84)90427-4,Direct Experimental / Literature Curation,High,"Expressed late (gamma-1), but acts at the immediate-early boundary upon delivery via tegument."
YP_009137124.1,NC_001806.2,UL49,Late,Gamma-1,verified,301,"Major tegument protein VP22 (301 aa); binds microtubules and viral mRNA, interacts with UL48 and UL16, and promotes efficient secondary envelopement.",tegument,"Cytoplasm (microtubules), nucleus, and virion tegument",Tegument bridge assembly and cytoplasmic secondary envelopment.,"UL16 (tegument), UL48 (VP16), cellular microtubules",Elliott & O'Hare (1997) Cell 88:223-233; O'Regan et al. (2007) J Virol 81:13185-13195,9008163,10.1016/s0092-8674(00)81843-8,Direct Experimental / Literature Curation,High,Late (gamma-1) major tegument protein; computationally difficult (moderate-margin error Delta p = 0.335).
YP_009137125.1,NC_001806.2,UL49A,Late,Gamma-1,verified,91,"Envelope glycoprotein N (gN, 91 aa); small single-pass transmembrane glycoprotein that forms a functional disulfide-bonded heterodimer with gM (UL10).",envelope/glycoprotein,Trans-Golgi network and virion envelope,Secondary envelopment and modulation of membrane fusion.,UL10 (glycoprotein M / gM),Baines et al. (2007) J Virol 81:7805-7809; Roizman et al. (2013) Fields Virology,17494068,10.1128/jvi.00415-07,Direct Experimental / Literature Curation,High,Late (gamma-1) small glycoprotein.
YP_009137126.1,NC_001806.2,UL50,Early,N/A,verified,371,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase); hydrolyzes dUTP to dUMP to provide substrate for thymidylate synthase and prevent uracil misincorporation into DNA.,nucleotide metabolism,Cytoplasm and nucleus,Nucleotide pool regulation and DNA replication fidelity in terminally differentiated neurons.,"dUTP, Mg2+",Caradonna & Cheng (1980) J Biol Chem 255:2293-2300; Wohlrab & Francke (1980) PNAS 77:1872-1876,6245136,10.1016/S0021-9258(19)85888-9,Direct Experimental / Literature Curation,High,Early (beta) metabolic enzyme.
YP_009137127.1,NC_001806.2,UL51,Late,Gamma-1,verified,244,Tegument protein UL51; palmitoylated membrane-associated protein that binds UL7 to form a complex required for secondary envelopment and cell-to-cell spread.,tegument,"Golgi apparatus, cytoplasmic membranes, and virion tegument",Secondary envelopment and viral egress.,"UL7 (tegument), ESCRT machinery",Nozawa et al. (2005) J Virol 79:9942-9950; Albecka et al. (2017) J Virol 91:e00897-17,16014954,10.1128/jvi.79.15.9942-9950.2005,Direct Experimental / Literature Curation,High,Late (gamma-1) membrane-associated tegument protein.
YP_009137128.1,NC_001806.2,UL52,Early,N/A,verified,1058,Primase catalytic subunit of the helicase-primase complex (UL5/UL8/UL52); synthesizes short RNA primers (8-10 nt) on the lagging strand during viral DNA replication.,DNA replication,Nucleus (replication compartments),Lagging strand primer synthesis during viral DNA replication.,"UL5 (helicase), UL8 (primase accessory subunit), zinc ions",Crute et al. (1989) PNAS 86:2186-2189; Killeen & Weller (2008) J Virol 82:4676-4682,2538836,10.1073/pnas.86.7.2186,Direct Experimental / Literature Curation,High,Early (beta) catalytic primase subunit; computationally difficult due to large multidomain primase fold.
YP_009137129.1,NC_001806.2,UL53,Late,Gamma-1,verified,338,"Envelope glycoprotein K (gK); regulates gB-mediated cell-surface membrane fusion, syncytium formation, and works with UL20 for virion envelopment.",envelope/glycoprotein,"Endoplasmic reticulum, nuclear envelope, and virion envelope",Regulation of membrane fusion and nuclear egress.,"UL20 (membrane protein), UL27 (gB)",Hutchinson et al. (1992) J Virol 66:2240-2250; Foster et al. (2001) J Virol 75:12431-12438,1312632,10.1128/jvi.66.4.2240-2250.1992,Direct Experimental / Literature Curation,High,Late (gamma-2) multi-pass envelope glycoprotein.
YP_009137130.1,NC_001806.2,UL54,Immediate-Early,N/A,verified,512,"Multifunctional Immediate-Early regulatory protein ICP27 (alpha27); modulates viral and host pre-mRNA splicing, polyadenylation, and exports intronless viral mRNAs via TAP/NXF1.",transcriptional/regulatory,Nucleus (nuclear speckles) and cytoplasm (shuttling),Post-transcriptional regulation and transition from Early to Late viral gene expression.,"Host TAP/NXF1, Aly/REF, RNA polymerase II, SRPK1",Rice & Knipe (1988) J Virol 62:3814-3823; Sandri-Goldin (2008) J Virol 82:2108-2119,2843936,10.1128/jvi.62.10.3814-3823.1988,Direct Experimental / Literature Curation,High,Canonical alpha immediate-early post-transcriptional regulator.
YP_009137131.1,NC_001806.2,UL55,Late,Gamma-2,verified,186,Nuclear protein UL55; non-essential nuclear protein with putative role in viral transcription or latency.,host-interaction/regulatory,Nucleus,Modulation of viral replication in specific cell types.,Unresolved in consulted sources,Barker & Roizman (1990) J Virol 64:5642-5646; Roizman et al. (2013) Fields Virology,2170685,10.1128/jvi.64.11.5642-5646.1990,Direct Experimental / Literature Curation,High,Late (gamma-2) protein.
YP_009137132.1,NC_001806.2,UL56,Late,Gamma-2,verified,234,Type II membrane protein UL56; interacts with host Nedd4 family E3 ubiquitin ligases and modulates neuroinvasiveness.,host-interaction/regulatory,"Cytoplasmic vesicles, Golgi apparatus, and plasma membrane",Pathogenicity and neuroinvasiveness.,Host Nedd4 E3 ligase,Koshizuka et al. (2002) J Virol 76:11334-11344; Roizman et al. (2013) Fields Virology,12388694,10.1128/jvi.76.22.11334-11344.2002,Direct Experimental / Literature Curation,High,Late (gamma-2) membrane protein.
YP_009137135.1,NC_001806.2,RS1,Immediate-Early,N/A,verified,1298,"Major Immediate-Early essential transcriptional transactivator ICP4 (alpha4, 1,298 aa); homodimeric DNA-binding master regulator that represses alpha promoters while transactivating beta (Early) and gamma (Late) genes by recruiting host TFIID and Mediator.",transcriptional/regulatory,Nucleus (prereplicative and replication compartments),Master genetic switch driving the transition from Immediate-Early to Early and Late viral gene transcription.,"Host TBP, TFIID, TFIIB, Mediator complex, viral DNA consensus promoters",Preston (1979) J Virol 29:275-284; DeLuca & Schaffer (1985) Mol Cell Biol 5:1997-2008,219159,10.1128/jvi.29.1.275-284.1979,Direct Experimental / Literature Curation,High,Canonical alpha immediate-early master regulator; 100% correct in supervised classification.
YP_009137136.1,NC_001806.2,US1,Immediate-Early,N/A,verified,420,Immediate-Early regulatory protein ICP22 (alpha22); induces aberrant phosphorylation of RNA polymerase II (loss of Ser2 phosphorylation) to reprogram host transcriptional machinery toward late viral promoters.,transcriptional/regulatory,Nucleus,Host RNA polymerase II modification; promotion of optimal late gene expression.,"Host RNA polymerase II, CDK9, cyclin T1, UL13 kinase",Post & Roizman (1981) Cell 25:227-232; Rice et al. (1995) J Virol 69:5550-5559,6268307,10.1016/0092-8674(81)90505-8,Direct Experimental / Literature Curation,High,Canonical alpha immediate-early regulatory protein.
YP_009137137.1,NC_001806.2,US2,Late,Gamma-2,verified,291,Tegument/membrane-associated protein US2; interacts with cellular non-muscle myosin IIA and modulates viral egress.,tegument,Cytoplasm and plasma membrane,Viral cytoplasmic trafficking.,Host non-muscle myosin IIA (MYH9),Roller et al. (2000) J Virol 74:117-129; Roizman et al. (2013) Fields Virology,10627535,10.1128/jvi.74.1.117-129.2000,Direct Experimental / Literature Curation,High,Late (gamma-1) tegument protein.
YP_009137138.1,NC_001806.2,US3,Early,N/A,verified,481,"Serine/threonine protein kinase US3; phosphorylates lamin A/C and emerin to disrupt the nuclear lamina during nuclear egress, blocks host apoptosis (Bcl-2 pathway), and suppresses histone deacetylase activity.",kinase,"Nucleus, inner nuclear membrane, and cytoplasm","Nuclear egress facilitation, inhibition of host apoptosis, and immune evasion.","Host lamin A/C, emerin, Bad, caspase-3, UL31, UL34",Purves et al. (1987) J Virol 61:2896-2901; Reynolds et al. (2001) J Virol 75:8803-8817,2818074,10.1128/jvi.61.9.2896-2901.1987,Direct Experimental / Literature Curation,High,Early (beta) kinase with major roles in both early anti-apoptotic defense and late nuclear egress.
YP_009137139.1,NC_001806.2,US4,Late,Gamma-1,verified,238,"Envelope glycoprotein G (gG); chemokine-binding protein that binds and neutralizes host chemokines (CXCL12, CCL28) to inhibit immune cell recruitment.",envelope/glycoprotein,"Virion envelope, plasma membrane, and extracellular secreted form",Immune evasion via chemokine blockade.,"Host chemokines (CXCL12, CCL28, CCL7)",Richman et al. (1986) J Virol 57:647-655; Bryant et al. (2003) EMBO J 22:833-841,3003387,10.1128/jvi.57.2.647-655.1986,Direct Experimental / Literature Curation,High,Late (gamma-1) envelope glycoprotein.
YP_009137140.1,NC_001806.2,US5,Late,Gamma-1,verified,92,Envelope glycoprotein J (gJ); inhibits host natural killer (NK) cell activation and apoptosis.,envelope/glycoprotein,Virion envelope and plasma membrane,Inhibition of host cell-mediated immune responses.,Unresolved in consulted sources,Ghiasi et al. (1998) J Virol 72:3315-3324; Roizman et al. (2013) Fields Virology,9525659,10.1128/jvi.72.4.3315-3324.1998,Direct Experimental / Literature Curation,High,Late (gamma-1) glycoprotein.
YP_009137141.1,NC_001806.2,US6,Late,Gamma-1,verified,394,"Envelope glycoprotein D (gD); essential receptor-binding trigger that engages host receptors (HVEM, Nectin-1, 3-O-sulfated heparan sulfate) to activate the gH/gL/gB fusion complex.",envelope/glycoprotein,Virion envelope and plasma membrane,Specific host cell receptor recognition and viral entry initiation.,"Host HVEM (TNFRSF14), Nectin-1 (PVRL1), 3-O-sulfated heparan sulfate, gH/gL",Montgomery et al. (1996) Cell 87:427-436; Carfi et al. (2001) Mol Cell 8:169-179,8898196,10.1016/s0092-8674(00)81363-0,Direct Experimental / Literature Curation,High,Late (gamma-1) primary entry receptor-binding glycoprotein.
YP_009137142.1,NC_001806.2,US7,Late,Gamma-1,verified,390,"Envelope glycoprotein I (gI); forms a heterodimeric Fc receptor complex with glycoprotein E (US8/gE), required for basolateral cell-to-cell spread in polarized epithelial cells and neurons.",envelope/glycoprotein,Virion envelope and plasma membrane,Anterograde axonal spread and cell-to-cell spread.,"US8 (glycoprotein E / gE), host IgG Fc domain",Johnson & Feenstra (1987) J Virol 61:2208-2216; Dingwell et al. (1994) J Virol 68:834-845,3035222,10.1128/jvi.61.7.2208-2216.1987,Direct Experimental / Literature Curation,High,Late (gamma-1) heterodimeric spread glycoprotein.
YP_009137143.1,NC_001806.2,US8,Late,Gamma-1,verified,550,"Envelope glycoprotein E (gE); complexes with gI (US7) to mediate anterograde axonal transport in neurons, directional cell-to-cell spread across junctions, and host IgG Fc receptor binding for antibody bipolar bridging.",envelope/glycoprotein,"Virion envelope, plasma membrane, and trans-Golgi network","Anterograde transport, cell junction spread, and immune evasion.","US7 (gI), host IgG Fc domain, kinesin motors",Johnson et al. (1988) J Virol 62:1347-1354; Dingwell et al. (1994) J Virol 68:834-845,2831398,10.1128/jvi.62.4.1347-1354.1988,Direct Experimental / Literature Curation,High,Late (gamma-1) major spread and Fc-receptor glycoprotein.
YP_009137144.1,NC_001806.2,US8A,Late,Gamma-2,verified,159,Membrane protein US8A; small transmembrane protein involved in viral cell-to-cell spread.,envelope/glycoprotein,Plasma membrane,Modulation of viral spread.,Unresolved in consulted sources,Georgopoulou et al. (1993) J Gen Virol 74:2495-2503; Roizman et al. (2013) Fields Virology,8245842,10.1099/0022-1317-74-11-2495,Direct Experimental / Literature Curation,High,Late (gamma-1) small membrane protein.
YP_009137145.1,NC_001806.2,US9,Late,Gamma-2,verified,90,Tegument/type II tail-anchored membrane protein US9; essential for anterograde axonal transport of viral capsids and glycoproteins toward neuronal axon terminals by recruiting kinesin-3 (KIF1A).,tegument,"Trans-Golgi network, cytoplasmic vesicles, and axonal membranes",Anterograde axonal sorting and transport in sensory neurons.,"Host kinesin-3 motor KIF1A, gE/gI complex (US8/US7)",Brideau et al. (2000) J Virol 74:728-735; Kratchmarov et al. (2013) J Virol 87:12531-12540,10623740,10.1128/jvi.74.2.728-735.2000,Direct Experimental / Literature Curation,High,Late (gamma-1) axonal sorting protein.
YP_009137146.1,NC_001806.2,US10,Late,Gamma-2,verified,312,Capsid/tegument zinc-finger protein US10; binds RNA and associates with capsids.,tegument,Nucleus and virion tegument,Virion assembly and RNA association.,Unresolved in consulted sources,Haarr et al. (1998) J Virol 72:48-58; Roizman et al. (2013) Fields Virology,9420200,10.1128/jvi.72.1.48-58.1998,Direct Experimental / Literature Curation,High,Late (gamma-1) zinc-binding tegument protein.
YP_009137147.1,NC_001806.2,US11,Late,Gamma-1,verified,161,"Tegument double-stranded RNA-binding protein US11; prevents PKR activation and eIF2alpha phosphorylation late in infection, and promotes microtubule-dependent transport.",tegument,"Nucleus (nucleolus), cytoplasm, and virion tegument",Inhibition of host PKR antiviral response; post-transcriptional RNA regulation.,"Double-stranded RNA, host PKR (EIF2AK2), kinesin heavy chain (KIF5B)",Roller & Roizman (1992) J Virol 66:3624-3632; Mohr et al. (2001) PNAS 98:14392-14397,1316474,10.1128/jvi.66.6.3624-3632.1992,Direct Experimental / Literature Curation,High,True late (gamma-2) dsRNA-binding protein.
YP_009137148.1,NC_001806.2,US12,Immediate-Early,N/A,verified,88,"Immediate-Early peptide ICP47 (alpha47, 88 aa); high-affinity competitor that binds the cytosolic peptide-binding site of host TAP (transporter associated with antigen processing), blocking peptide translocation into the ER and preventing MHC class I antigen presentation.",transcriptional/regulatory,Cytoplasm (associated with cytosolic face of ER membrane),Immune evasion: inhibition of CD8+ cytotoxic T lymphocyte (CTL) surveillance.,Host TAP1 and TAP2 transporter heterodimer (ABCB2/ABCB3),York et al. (1994) Cell 77:525-535; Fruh et al. (1995) Nature 375:415-418,8187176,10.1016/0092-8674(94)90215-4,Direct Experimental / Literature Curation,High,Canonical alpha immediate-early protein; small (88 aa) non-enzymatic inhibitor (high-confidence error Delta p = 0.669).
